placa,clase,marca,modelo,dueño,nivel de conduccion
MFR208,Sedán,Mercedes-Benz,1995,Ana López,73
NUO592,Coupe,Hyundai,2008,María Sánchez,17
KMC372,Convertible,Mercedes-Benz,2000,Carlos Fernández,13
LPC842,Hatchback,Volkswagen,2019,Luisa Ramírez,15
BNC679,Coupe,Hyundai,2001,María López,76
YAP796,SUV,Ford,2011,Juan Gómez,36
LPD736,Convertible,Mazda,2018,Luis Martínez,48
IUL774,Hatchback,Chevrolet,2014,Carmen García,32
PNB414,Minivan,Toyota,2017,Pedro Pérez,41
AWG188,Coupe,Chevrolet,1998,Carmen García,8
PTC664,Coupe,BMW,2025,María Rodríguez,50
DXH892,SUV,BMW,1999,Carmen Sánchez,88
EYV160,Camioneta,Ford,2016,Ana Torres,8
JEE819,SUV,Mazda,2018,Sofía Ramírez,10
QMT990,Camioneta,Volkswagen,1990,Juan Fernández,33
ZSC406,Camioneta,Hyundai,2019,Luis García,97
GTC116,Coupe,Hyundai,1992,María Torres,61
ZRL321,Convertible,Chevrolet,2024,Carmen Fernández,96
JFX881,Minivan,Suzuki,1994,Carlos García,83
JRI271,Convertible,Toyota,2021,José Fernández,74
WJF503,Convertible,Mazda,2022,Juan López,59
YTQ708,Coupe,BMW,2018,Juan Rodríguez,58
RGQ496,Camioneta,Mazda,2010,Carlos Ramírez,7
CKL221,Minivan,Suzuki,1995,Luis Torres,83
IOA666,Convertible,BMW,2012,José Fernández,67
PMU021,SUV,Ford,1993,Carmen Pérez,15
OWS304,Coupe,Mercedes-Benz,2000,Sofía Sánchez,34
TOL900,Hatchback,BMW,2000,Carlos Gómez,39
OKB480,SUV,Ford,2005,Ana Sánchez,68
LSR562,Sedán,Suzuki,2004,Carlos García,74
OGG599,Coupe,Suzuki,2008,Luisa Torres,64
